Ключевое слово,Автор,Тип,Сопровождение,Вопрос,Начальная форма,Роль,Собственное ли,Одушевлённость,Род,Склонение,Число,Падеж,Разряд,Полнота формы,Степень сравнения,Совершенность,Возвратность,Переходность,Спряжение,Наклонение,Время,Лицо,Структура,Количественное/порядковое,Действительное/страдательное,Производность,Подразряд
До,И. С. Тургенев,Предлог,До утра оставалось ещё несколько часов.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,ВРЕМЕНИ
По,Л. Н. Толстой,Предлог,По зиме он редко выезжал из дома.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,ВРЕМЕНИ
Через,А. П. Чехов,Предлог,Через час он уже был далеко.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,ВРЕМЕНИ
После,Ф. М. Достоевский,Предлог,После обеда гости разошлись.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,произв.,ВРЕМЕНИ
В течение,М. Ю. Лермонтов,Предлог,В течение дня он не произнёс ни слова.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,составной,,,произв,ВРЕМЕНИ
В заключение,И. А. Гончаров,Предлог,В заключение вечера все подняли бокалы.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,составной,,,произв,ВРЕМЕНИ
В,А. С. Пушкин,Предлог,В комнату вошёл человек.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,МЕСТА
До,Н. В. Гоголь,Предлог,До города оставалось ещё три версты.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,МЕСТА
Из-за,Л. Н. Толстой,Предлог,Из-за угла показалась карета. ,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,произв,МЕСТА
За,Ф. М. Достоевский,Предлог,За домом был старый сад.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,МЕСТА
К,А. П. Чехов,Предлог,К реке вела узкая тропинка.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,МЕСТА
Под,И. С. Тургенев,Предлог,Под окном росла сирень.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,МЕСТА
Перед,М. Ю. Лермонтов,Предлог,Перед нами расстилалась долина.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,МЕСТА
У,А. С. Грибоедов,Предлог,У ворот стояла коляска.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,МЕСТА
Через,Н. А. Некрасов,Предлог,Через поле бежал заяц.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,МЕСТА
Возле,И. А. Бунин,Предлог,Возле дороги рос дуб.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,произв,МЕСТА
Мимо,А. Н. Островский,Предлог,Мимо проходил странник.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,произв,МЕСТА
Около,А. И. Куприн,Предлог,Около церкви собрался народ.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,произв,МЕСТА
Из-за,М. Е. Салтыков-Щедрин,Предлог,Из-за тучи выглянуло солнце.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,произв,ПРИЧИНЫ
От,Ф. М. Достоевский,Предлог,От усталости он едва стоял на ногах.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,ПРИЧИНЫ
По,Л. Н. Толстой,Предлог,По неосторожности случилась беда.,нет,нет,служебная часть речи / нет.,,,,,,,,,,,,,,,,,простой,,,непроизв.,ПРИЧИНЫ
